Prompt,Chat-GPT,filename
"
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|",|INV-12345| $500.00|,./raw/FW_ ACH Remittance Details.eml
"Subject: ACH EFT Payment Email Notification CAUTION:This email is received from an external domain. Open the hyperlink(s) & attachment(s) with caution..   *** THIS IS AN AUTOMATED MESSAGE - PLEASE DO NOT REPLY. Your account 45720****0 is being credited on March 24, 2023 with $3,128,945.61in regard to the following invoice;(for confidentiality, a portion of the account number is blocked out) Invoice Number                Invoice Description                          Invoice Date        Invoice Amount961531511                     Wipro_Project_Services_And_Staff_Augment     15-FEB-2023              $3,766.01961532092                     Wipro_Project_Services_And_Staff_Augment     15-FEB-2023              $2,226.00961532094                     Wipro_Project_Services_And_Staff_Augment     15-FEB-2023                $176.40971709825                     Wipro CW2339419_FLEX_15631/P05/B02/S80;      27-FEB-2023             $50,378.40971709824                     Wipro CW2339419_FLEX_15631/P05/B02/S80;      27-FEB-2023            $103,723.7990285722                      Wipro_GContract CW2342138; CW2287100 WIP     9-MAR-2023              $55,731.40961526309                     Wipro CW2328593 TD USTS nCino Salesforce     22-FEB-2023                $372.76961542046                     Wipro Wipro CW2328593 TD USTS nCino Sale     15-MAR-2023             $13,903.2090283357                      Wipro CW2328593 ; StartDate 01-Nov-2022;     2-MAR-2023              $40,536.5690283361                      Wipro CW2328593 ; StartDate 01-Nov-2022;     16-MAR-2023             $94,492.13972505741                     Wipro CW2342138 B-F-TBA-PJ-SEAM_FLEX_202     17-MAR-2023             $31,166.08961544237                     Wipro_Project_Services_And_Staff_Augment     20-MAR-2023                $100.80961537837                     Wipro CW2339419_FLEX_15631/P05/B02/S80;      27-FEB-2023            $124,029.225100169748                    Wipro CW2366667 B-F-TBA-PJ-USTS_DNA_2021     3-MAR-2023              $36,874.20971710483                     Wipro CW2328593 TD USTS nCino Salesforce     1-MAR-2023              $20,133.125100168536                    Wipro CW2328593 TD USTS nCino Salesforce     22-FEB-2023             $46,572.08971710480                     Wipro CW2328593 TD USTS nCino Salesforce     1-MAR-2023              $21,231.84971706370                     Wipro CW2328593 TD USTS nCino Salesforce     22-FEB-2023             $16,236.645100169205                    Wipro CW2328569 B-F-TBA-PJ-SEAM_FLEX_202     16-FEB-2023            $244,206.62961532886                     Wipro CW2328569 B-F-TBA-PJ-SEAM_FLEX_202     16-FEB-2023              $5,523.00961539721                     Wipro Wipro CW2328593 TD USTS nCino Sale     1-MAR-2023              $14,192.85961542045                     Wipro Wipro CW2328593 TD USTS nCino Sale     15-MAR-2023             $11,827.38971711349                     Wipro Wipro CW2328593 TD USTS nCino Sale     16-MAR-2023             $20,220.80971709302                     Wipro_Project_Services_And_Staff_Augment     23-FEB-2023             $16,179.20971708072                     Wipro_Project_Services_And_Staff_Augment     14-FEB-2023             $18,048.00961531507                     Wipro_Project_Services_And_Staff_Augment     14-FEB-2023             $27,195.60961531506                     Wipro_Project_Services_And_Staff_Augment     14-FEB-2023             $67,476.50961540489                     Wipro CW2366667 B-F-TBA-PJ-USTS_DNA_2021     3-MAR-2023                 $508.525100168533                    Wipro CW2328593 TD USTS nCino Salesforce     22-FEB-2023             $43,468.48961540205                     Wipro CW2342138 28489/P05/B02SO00000035;     2-MAR-2023               $1,050.00971711341                     Wipro BAM-TBA-PJ-OJZHU3QN20HO2 - Treasur     14-MAR-2023             $20,352.00961539720                     Wipro Wipro CW2328593 TD USTS nCino Sale     1-MAR-2023              $14,598.36961539692                     Wipro Wipro CW2328593 TD USTS nCino Sale     1-MAR-2023                 $441.04961542044                     Wipro Wipro CW2328593 TD USTS nCino Sale     15-MAR-2023                $367.52961532097                     Wipro_Project_Services_And_Staff_Augment     15-FEB-2023                $134.40971709303                     Wipro_Project_Services_And_Staff_Augment     23-FEB-2023             $21,000.00961531509                     Wipro_Project_Services_And_Staff_Augment     14-FEB-2023             $24,525.20971708068                     Wipro_Project_Services_And_Staff_Augment     14-FEB-2023             $45,615.36971708067                     Wipro_Project_Services_And_Staff_Augment     14-FEB-2023             $15,370.24961532095                     Wipro_Project_Services_And_Staff_Augment     15-FEB-2023                $693.60971708065                     Wipro_Project_Services_And_Staff_Augment     15-FEB-2023             $45,319.68971708341                     Wipro_Project_Services_And_Staff_Augment     15-FEB-2023             $17,480.00961531508                     Wipro_Project_Services_And_Staff_Augment     15-FEB-2023              $4,681.60971708070                     Wipro_Project_Services_And_Staff_Augment     14-FEB-2023             $16,988.165100168534                    Wipro CW2328593 TD USTS nCino Salesforce     22-FEB-2023             $64,148.6290283359                      Wipro CW2328593 ; StartDate 01-Nov-2022;     16-MAR-2023            $127,760.0690283360                      Wipro CW2328593 ; StartDate 01-Nov-2022;     2-MAR-2023              $75,761.44971708339                     Wipro_Project_Services_And_Staff_Augment     14-FEB-2023              $5,662.72971708069                     Wipro_Project_Services_And_Staff_Augment     14-FEB-2023             $30,119.04961526307                     Wipro CW2328593 TD USTS nCino Salesforce     22-FEB-2023                $475.205100169782                    Wipro CW2342138 28489/P05/B02SO00000035;     2-MAR-2023              $65,408.80971710482                     Wipro Wipro CW2328593 TD USTS nCino Sale     1-MAR-2023              $22,286.8890268652                      Wipro_CORE_CW2339419 B-F-TBA-PJ-6ZLU8TOB     17-FEB-2023          $1,120,916.16961532093                     Wipro_Project_Services_And_Staff_Augment     15-FEB-2023                $108.12971708066                     Wipro_Project_Services_And_Staff_Augment     14-FEB-2023            $120,047.42971708071                     Wipro_Project_Services_And_Staff_Augment     14-FEB-2023             $18,144.00961532096                     Wipro_Project_Services_And_Staff_Augment     15-FEB-2023                $655.20961539196                     Wipro CW2339419_FLEX_15631/P05/B02/S80;      27-FEB-2023              $4,656.65971708505                     Wipro BAM-TBA-PJ-OJZHU3QN20HO2 - Treasur     16-FEB-2023             $21,369.60971710479                     Wipro CW2328593 TD USTS nCino Salesforce     1-MAR-2023              $44,440.80971711348                     Wipro Wipro CW2328593 TD USTS nCino Sale     15-MAR-2023             $20,164.32971708073                     Wipro_Project_Services_And_Staff_Augment     14-FEB-2023              $2,088.96971708340                     Wipro_Project_Services_And_Staff_Augment     15-FEB-2023             $17,146.08961531510                     Wipro_Project_Services_And_Staff_Augment     14-FEB-2023              $7,585.20961542042                     Wipro Wipro CW2328593 TD USTS nCino Sale     15-MAR-2023                $432.00961539690                     Wipro Wipro CW2328593 TD USTS nCino Sale     1-MAR-2023                 $453.60                                                                                     Total Amount   $3,128,945.61 Funds will be posted to your account and be reflected in the balance within 2 business days. For questions regarding this payment, please contact your Vendor Manager/TD Contact. NOTE: This email message, including any attachment(s) hereto, is CONFIDENTIAL and intended only for the addressee.If you are not the addressee, you may not review, copy or distribute this message. If you receive this in error,please notify the Accounts Payable Centre at CCAPCTR@TD.COM. Thank you.  InternalIf you wish to unsubscribe from receiving commercial electronic messages from TD Bank Group, please clickhere or go to the following web address: www.td.com/tdoptoutSi vous souhaitez vous désabonner des messages électroniques de nature commerciale envoyés par Groupe Banque TD veuillez cliquerici ou vous rendre à l'adresse www.td.com/tddesab NOTICE: Confidential message which may be privileged. Unauthorized use/disclosure prohibited. If received in error, please go to www.td.com/legal for instructions.AVIS : Message confidentiel dont le contenu peut être privilégié. Utilisation/divulgation interdites sans permission. Si reçu par erreur, prière d'aller au www.td.com/francais/avis_juridique pour des instructions.
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|","|961531511|$3,766.01|
|961532092|$2,226.00|
|961532094|$176.40|
|971709825|$50,378.40|
|971709824|$103,723.79|
|90285722|$55,731.40|
|961526309|$372.76|
|961542046|$13,903.20|
|90283357|$40,536.56|
|90283361|$94,492.13|
|972505741|$31,166.08|
|961544237|$100.80|
|961537837|$124,029.22|
|5100169748|$36,874.20|
|971710483|$20,133.12|
|5100168536|$46,572.08|
|971710480|$21,231.84|
|971706370|$16,236.64|
|5100169205|$244,206.62|
|961532886|$5,523.00|
|961539721|$14,192.85|
|961542045|$11,827.38|
|971711349|$20,220.80|
|971709302|$16,179.20|
|971708072|$18,048.00|
|961531507|$27,195.60|
|961531506|$67,476.50|
|961540489|$508.52|
|5100168533|$43,468.48|
|961540205|$1,050.00|
|971711341|$20,352.00|
|961539720|$14,598.36|
|961539692|$441.04|
|961542044|$367.52|
|961532097|$134.40|
|971709303|$21,000.00|
|961531509|$24,525.20|
|971708068|$45,615.36|
|971708067|$15,370.24|
|961532095|$693.60|
|971708065|$45,319.68|
|971708341|$17,480.00|
|961531508|$4,681.60|
|971708070|$16,988.16|
|5100168534|$64,148.62|
|90283359|$127,760.06|
|90283360|$75,761.44|
|971708339|$5,662.72|
|971708069|$30,119.04|
|961526307|$475.20|
|5100169782|$65,408.80|
|971710482|$22,286.88|
|90268652|$1,120,916.16|
|961532093|$108.12|
|971708071|$120,047.42|
|961532096|$655.20|
|961539196|$4,656.65|
|971708505|$21,369.60|
|971711479|$20,164.32|
|971708073|$2,088.96|
|961531510|$7,585.20|
|961539690|$453.60|",./raw/FW_ ACH EFT Payment Email Notification.eml
"; thuy.tran@fujitsu.comSubject: *FNC ACH Notice* WIPRO TECHNOLOGIES CAUTION:This email is received from an external domain. Open the hyperlink(s) & attachment(s) with caution..   ** FNC ACH Notification **Vendor #: 0002775492 WIPRO TECHNOLOGIESThe Fujitsu delegated clearing house has recognized payment to your bank for the following invoices: +--------------+---------------+------------+-----------------------+-----------+--------------+-----------+|   Field 1    |    Field 2    |  Field 3   |        Field 4        |  Field 5  |   Field 6    |  Field 7  |+--------------+---------------+------------+-----------------------+-----------+--------------+-----------+| Clearing Doc | Clearing Date | Document # |        FNC PO#        | Invoice # | Invoice Date |   Amount  ||  2000911952  |   03/30/2023  | 5101495132 | Wipro MPLS Feb 902812 |  90281254 |  02/28/2023  |  6,350.78 ||    Total     |   03/30/2023  |            |                       |           |              |  6,350.78 ||      .       |               |            |                       |           |              |           ||  2000911981  |   03/31/2023  | 5101496576 |                       |  90281255 |  02/28/2023  | 24,166.66 ||    Total     |   03/31/2023  |            |                       |           |              | 24,166.66 ||      .       |               |            |                       |           |              |           |+--------------+---------------+------------+-----------------------+-----------+--------------+-----------+ Please contact Fujitsu A/P dept thuy.tran@fujitsu.com with the clearing document if you have questions.
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|","|90281254                |6,350.78           |
|90281255                |24,166.66          |",./raw/FW_ _FNC ACH Notice_ WIPRO TECHNOLOGIES.eml
"RegardsAmjad Bagban- Manager (Finance)-----Original Message-----From: Workflow Mailer - Elena Sent: Wednesday, March 29, 2023 3:31 AMTo: edebtors-usa Subject: Alert: Emerson's Accounts Payable Remittance AdviceCAUTION:This email is received from an external domain. Open the hyperlink(s) & attachment(s) with caution..Vendor:   WIPRO LIMITED        vendor_number:   110001025The Emerson Accounts Payable department will deposit money into your bank account on 29-MAR-2023.  The payment number is 110000000113554 with a total dollar amount of $     10500.00 USD.For reference purposes the following invoices have been remitted for payment""           Invoice Number:  961538739           Invoice Date:  27-FEB-2023           Discount Taken:  $0           Amount Paid:  $      5775.00           Invoice Number:  961538678           Invoice Date:  16-FEB-2023           Discount Taken:  $0           Amount Paid:  $      4725.00For inquiries contact the Emerson AP Department either by telephone at number 314-553-2400 or through the following web site: ----  This email was automatically generated; do not reply to this message ---
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|","|961538739|5775.00|
|961538678|4725.00|",./raw/FW_ Alert_  Emerson_s Accounts Payable Remittance Advice.eml
"Subject: ACH EFT Payment Email Notification CAUTION:This email is received from an external domain. Open the hyperlink(s) & attachment(s) with caution..   *** THIS IS AN AUTOMATED MESSAGE - PLEASE DO NOT REPLY. Your account 45720****0 is being credited on March 23, 2023 with $25,480.09in regard to the following invoice;(for confidentiality, a portion of the account number is blocked out) Invoice Number                Invoice Description                          Invoice Date        Invoice Amount961485389                     INV- 961485389                               1-NOV-2022                 $124.695100166008                    INV- 5100166008                              1-NOV-2022              $25,355.40                                                                                     Total Amount      $25,480.09 Funds will be posted to your account and be reflected in the balance within 2 business days. For questions regarding this payment, please contact your Vendor Manager/TD Contact. NOTE: This email message, including any attachment(s) hereto, is CONFIDENTIAL and intended only for the addressee.If you are not the addressee, you may not review, copy or distribute this message. If you receive this in error,please notify the Accounts Payable Centre at CCAPCTR@TD.COM. Thank you.  InternalIf you wish to unsubscribe from receiving commercial electronic messages from TD Bank Group, please clickhere or go to the following web address: www.td.com/tdoptoutSi vous souhaitez vous désabonner des messages électroniques de nature commerciale envoyés par Groupe Banque TD veuillez cliquerici ou vous rendre à l'adresse www.td.com/tddesab NOTICE: Confidential message which may be privileged. Unauthorized use/disclosure prohibited. If received in error, please go to www.td.com/legal for instructions.AVIS : Message confidentiel dont le contenu peut être privilégié. Utilisation/divulgation interdites sans permission. Si reçu par erreur, prière d'aller au www.td.com/francais/avis_juridique pour des instructions.
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|","|961485389 | $124.69 |
|5100166008 | $25,355.40 |
|Total Amount | $25,480.09 |",./raw/FW_ ACH EFT Payment Email Notification(1).eml
"
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|",|INV-12345| $500.00|,./raw/FW_ Accounts Payable Remittance.eml
"Cc: AIC-AMSI-DDNotification@argogroupus.comSubject: ACH Remittance Notification CAUTION:This email is received from an external domain. Open the hyperlink(s) & attachment(s) with caution..   +-----------------------------------------------------------------------------------------------------------+----------------------------------------------------------+--------------------------------------------------------------------------+-------------+------------+-----------+-----------+--------------------------------------------------------------------------+------------+|                                                  Field 1                                                  |                         Field 2                          |                                 Field 3                                  |   Field 4   |  Field 5   |  Field 6  |  Field 7  |                                 Field 8                                  |  Field 9   |+-----------------------------------------------------------------------------------------------------------+----------------------------------------------------------+--------------------------------------------------------------------------+-------------+------------+-----------+-----------+--------------------------------------------------------------------------+------------+|                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                        ACH Remittance Notification                                        |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                 WIPRO LLC,                                                |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                  Argo Group US has initiated ACH payment                                  |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                       #61117 to the bank account you designated to Accounts Payable.                      |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                          Below are details of the payment initiated on 31-MAR-23:                         | Below are details of the payment initiated on 31-MAR-23: |                                                                          |             |            |           |           |                                                                          |            ||                          Below are details of the payment initiated on 31-MAR-23:                         |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                               Invoice Number                                              |                      Invoice Number                      |                               Invoice Date                               | Description | Net Amount | 973230093 | 24-FEB-23 | CP2022-004_01/26-23-02/25/23_OFFSHORE SERVICES RENDERED BY OUR ENGINEERS | $47,678.75 ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                Invoice Date                                               |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                Description                                                |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                 Net Amount                                                |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                 973230093                                                 |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                 24-FEB-23                                                 |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                  CP2022-004_01/26-23-02/25/23_OFFSHORE SERVICES RENDERED BY OUR ENGINEERS                 |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                 $47,678.75                                                |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                               Invoice Number                                              |                       Invoice Date                       |                               Description                                |  Net Amount |            |           |           |                                                                          |            ||                                                 973230093                                                 |                        24-FEB-23                         | CP2022-004_01/26-23-02/25/23_OFFSHORE SERVICES RENDERED BY OUR ENGINEERS |  $47,678.75 |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||        Please confirm that your bank was able to process the transaction prior to accessing funds.        |                                                          |                                                                          |             |            |           |           |                                                                          |            ||  Due to the timing of bank processing, there could be some delay in funds being credited to your account. |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||         If you have not received credit in your bank account after 3 working days from the date of        |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                      this notice, please contact AccountsPayableGroup@argogroupus.com                     |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            ||                                                                                                           |                                                          |                                                                          |             |            |           |           |                                                                          |            |+-----------------------------------------------------------------------------------------------------------+----------------------------------------------------------+--------------------------------------------------------------------------+-------------+------------+-----------+-----------+--------------------------------------------------------------------------+------------+ 
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|","|973230093| $47,678.75|",./raw/FW_ ACH Remittance Notification(1).eml
"
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|",|INV-12345| $500.00|,./raw/FW_ Apple Payment Advice _PLEASE DO NOT REPLY_.eml
"No title givenSubject: EY Payment Advice CAUTION:This email is received from an external domain. Open the hyperlink(s) & attachment(s) with caution..   +------------------------------------------------------------------------------------------------------+|                                               Field 1                                                |+------------------------------------------------------------------------------------------------------+|                                                 The                                                  ||  attached file below contains the details of the payment that will be deposited to your bank account |+------------------------------------------------------------------------------------------------------+ +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+|                                                                                     Field 1                                                                                     |+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+|                                                                                        EY                                                                                       ||                                                                              Global Services Limited                                                                            ||                                                                                        6                                                                                        ||                                                                                 More London Place                                                                               ||                                                                                      London                                                                                     ||                                                                                       SE1                                                                                       ||                                                                                        2DA                                                                                      ||                                                                                      United                                                                                     ||                                                                                      Kingdom                                                                                    ||                                                                                                                                                                                 ||                                                                                                                                                                                 ||                                                                                      Please                                                                                     ||                                                                          do not respond to this message.                                                                        ||                                                                                       This                                                                                      ||                                                            email has been generated automatically and has no receiver.                                                          ||                                                                                                                                                                                 ||                                                                                        If                                                                                       ||  you don't receive the fund even after 3 business days or if you have questions regarding this remittance advice, please contact Customer Support at eygs.apqueries@xe02.ey.com ||                                                                                                                                                                                 ||                                                                                      Thank                                                                                      ||                                                                                        you                                                                                      |+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+This e-mail and any attachment are confidential and contain proprietary information, some or all of which may be legally privileged. It is intended solely for the use of the individual or entity to which it is addressed. If you are not the intended recipient, please notify the author immediately by telephone or by replying to this e-mail, and then delete all copies of the e-mail on your system. If you are not the intended recipient, you must not use, disclose, distribute, copy, print or rely on this e- mail.Whilst we have taken reasonable precautions to ensure that this e-mail and any attachment has been checked for viruses, we cannot guarantee that they are virus free and we cannot accept liability for any damage sustained as a result of software viruses. We would advise that you carry out your own virus checks, especially before opening an attachment.EY refers to the global organization, and may refer to one or more, of the member firms of Ernst & Young Global Limited, each of which is a separate legal entity. Ernst & Young Global Limited, a UK company limited by guarantee, does not provide services to clients.The UK firm Ernst & Young LLP is a limited liability partnership registered in England and Wales with registered number OC300001 and is a member firm of Ernst & Young Global Limited. A list of members' names is available for inspection at 1 More London Place, London, SE1 2AF, the firm's principal place of business and its registered office and at Companies House[https://www.gov.uk/get-information-about-a-company]under the registration number OC300001. Not all partners are members of Ernst & Young LLP. Ernst & Young LLP is a multi-disciplinary practice and is authorised and regulated by the Institute of Chartered Accountants in England and Wales, the Solicitors Regulation Authority (authorisation number 614947), the Financial Conduct Authority (registration number 196203) and other regulators. Further details can be found at https://www.ey.com/en_uk/legal-statement.
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|",No invoice number or document reference number or invoice amount is provided in the email.,./raw/FW_ EY Payment Advice(1).eml
"
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|",|INV-12345| $500.00|,./raw/FW_ ACH Payment from CT Corporation.eml
"
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|",|INV-12345| $500.00|,./raw/FW_ BACS remittance advice from Lloyds Banking Group(1).eml
"Subject: Best Buy Canada Payee Manager CAD remittance data for Convera payment confirmation number: OTR5748662 CAUTION:This email is received from an external domain. Open the hyperlink(s) & attachment(s) with caution..   Best Buy Canada Payee Manager CAD remittance data for Convera payment confirmation number: OTR5748662, with payment amount of: 358745.56 CAD, is attached and available to view, save and print. If you have any questions about the remittance data please contact Best Buy Canada Payee Manager CAD.---------------------------------------------------------------------------------------------------------© 2022 Convera Holdings, LLC. All rights reserved.Disclaimer---------------------------------------------------------------------------------------------------------Best Buy Canada Payee Manager CAD is responsible for the accuracy of this email address. The timing of funds availability is not guaranteed. Receiving bank fees may apply.
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|",|OTR5748662 |358745.56 CAD|,./raw/FW_ Best Buy Canada Payee Manager CAD remittance data for Convera payment confirmation number_ OTR5748662.eml
"Payment Remittance AdviceSubject: FedEx Separate Remittance Advice CAUTION:This email is received from an external domain. Open the hyperlink(s) & attachment(s) with caution..   +----------------------------+|          Field 1           |+----------------------------+| Separate Remittance Advice |+----------------------------+Mar 30, 2023 +------------+-----------------------------+-----------------+---------------------------------------+|  Field 1   |           Field 2           |     Field 3     |                Field 4                |+------------+-----------------------------+-----------------+---------------------------------------+| From Payer | Federal Express Corporation | Trading Partner |             WIPRO LIMITED             ||            |  942 South Shady Grove Road |     To Payee    |             WIPRO LIMITED             ||            |           Memphis           |                 | 79R AND 80P DODDAKANNELL, SARJAPUR RD ||            |              TN             |                 |          BANGALORE KARNATAKA          ||            |              US             |                 |                   IN                  ||            |            38120            |                 |                 560035                ||            |                             |    Bank Name    |          WELLS FARGO BANK NA          ||            |                             |     Bank No.    |                                       ||            |                             |    Branch No.   |               121000248               ||            |                             |  Bank BIC Code  |                WFBIUS6S               ||            |                             |   Bank Account  |               XXXXXX4410              ||            |                             |       IBAN      |                                       |+------------+-----------------------------+-----------------+---------------------------------------+ The following payment has been submitted and will post to your banking account in 1-3 business days: +--------------------------+-----------+|         Field 1          |  Field 2  |+--------------------------+-----------+| Payment Reference Number |  4117111  ||  Paper Document Number   |           ||       Payment Date       |  4/3/2023 ||     Payment Currency     |    USD    ||      Payment Amount      | 89,584.82 |+--------------------------+-----------+  +---------------------------+-------------------+-------------+-----------------+-------------------+-----------------+----------------+-------------+|          Field 1          |      Field 2      |   Field 3   |     Field 4     |      Field 5      |     Field 6     |    Field 7     |   Field 8   |+---------------------------+-------------------+-------------+-----------------+-------------------+-----------------+----------------+-------------+|                           | Remittance Detail |             |                 |                   |                 |                |             || Document Reference Number |   Document Date   | Description | Document Amount | Document Currency | Amount Withheld | Discount Taken | Amount Paid ||          90275601         |    Feb 28, 2023   |             |    19,103.99    |        USD        |       0.00      |      0.00      |  19,103.99  ||          90275763         |    Feb 28, 2023   |             |    48,028.69    |        USD        |       0.00      |      0.00      |  48,028.69  ||         971709591         |    Feb 28, 2023   |             |    11,226.07    |        USD        |       0.00      |      0.00      |  11,226.07  ||         971709592         |    Feb 28, 2023   |             |    11,226.07    |        USD        |       0.00      |      0.00      |  11,226.07  ||                           |                   |             |                 |       Total       |       0.00      |      0.00      |  89,584.82  |+---------------------------+-------------------+-------------+-----------------+-------------------+-----------------+----------------+-------------+                
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|","|90275601|19,103.99|
|90275763|48,028.69|
|971709591|11,226.07|
|971709592|11,226.07|",./raw/FW_ FedEx Separate Remittance Advice.eml
